,City,Latitudes,Longtitudes,Humidity,Wind Speed,Cloudiness,Temperature
477,Itarema,-2.92,-39.92,81,7.79,6,25.9
478,Quryq,43.2,51.65,90,3.76,36,14.94
479,La Rioja,42.25,-2.5,77,9.3,100,15.0
480,Datong,40.09,113.29,32,5.77,100,14.42
481,Eugene,44.05,-123.09,82,3.1,75,12.6
482,São João da Barra,-21.64,-41.05,85,4.99,100,22.41
483,Maragogi,-9.01,-35.22,79,4.0,19,23.71
484,Dongying,37.46,118.49,25,3.08,100,20.62
485,Taltal,-25.4,-70.48,70,1.65,0,14.46
486,Coyhaique,-45.58,-72.07,92,1.0,11,4.0
487,Whitianga,-36.83,175.7,68,3.58,100,21.67
488,Teknāf,20.86,92.31,72,2.64,74,29.18
489,Alice Springs,-23.7,133.88,42,5.1,20,29.0
490,Easton,40.69,-75.22,77,3.6,90,14.6
491,Limerick,52.66,-8.62,93,4.1,20,12.49
492,Prainha,-1.8,-53.48,62,2.37,98,27.78
493,Dunedin,-45.87,170.5,70,9.83,93,12.22
494,Nsanje,-16.92,35.26,84,1.45,0,20.11
495,Oistins,13.07,-59.53,78,2.6,40,28.0
496,Valcourt,45.5,-72.32,93,2.1,90,9.8
497,Tomatlán,19.93,-105.25,92,0.49,28,25.11
498,Tucuruí,-3.77,-49.67,86,2.48,71,24.16
499,King City,36.21,-121.13,38,2.54,0,18.18
500,Bakchar,57.02,82.07,83,3.59,100,2.89
501,Praia da Vitória,38.73,-27.07,82,11.97,20,15.32
502,Kankakee,41.15,-87.87,87,2.6,90,6.01
503,Maxixe,-23.86,35.35,87,3.9,0,19.54
504,Mareeba,-17.0,145.43,55,3.6,0,31.09
505,Kankaanpää,61.8,22.42,92,2.6,58,-0.56
506,Guadix,37.3,-3.14,47,0.89,100,15.92
507,Mahajanga,-15.72,46.32,69,2.1,20,23.0
508,Ustka,54.58,16.86,88,4.24,100,6.89
509,Chenghai,23.46,116.77,57,4.0,23,26.0
510,Byron Bay,-28.65,153.62,56,6.2,52,22.66
511,Samarai,-10.62,150.67,80,3.64,19,27.41
512,Kulhudhuffushi,6.62,73.07,78,6.34,1,27.67
513,Santiago del Estero,-27.8,-64.26,51,9.51,65,26.5
514,San Matías,-16.37,-58.4,78,2.01,100,24.69
515,Simplício Mendes,-7.85,-41.91,28,2.46,28,25.68
516,Tekeli,44.83,78.82,28,3.03,0,14.47
517,Betafo,-19.83,46.85,77,1.54,0,15.47
518,Bayan,46.08,127.4,57,4.48,0,13.89
519,Gaza,31.5,34.47,83,2.6,5,21.37
520,Dores do Indaiá,-19.46,-45.6,94,0.23,100,17.64
521,Ndélé,8.41,20.65,74,0.45,68,21.41
522,Pūrna,19.18,77.05,82,2.09,100,25.67
523,Marrakesh,31.63,-8.01,45,2.6,30,20.0
524,Tías,28.96,-13.64,88,1.5,40,20.0
525,Yangi Marg`ilon,40.43,71.72,30,4.1,0,12.0
526,Artyom,40.47,50.33,93,7.2,20,15.0
527,Phan Thiet,10.93,108.1,71,0.38,95,29.09
528,Hualmay,-11.1,-77.61,86,2.84,5,16.47
529,Qaqortoq,60.72,-46.03,89,2.1,100,0.0
530,Petropavlovsk-Kamchatskiy,53.05,158.65,39,5.0,40,7.0
531,Cockburn Town,21.46,-71.14,75,5.18,96,27.8
532,Bandi̇̄pur,27.93,84.42,73,0.39,0,21.7
533,Prieska,-29.66,22.75,37,3.11,0,13.53
534,Cortez,37.35,-108.59,29,4.6,1,9.23
535,Valparaíso,-33.04,-71.63,81,2.1,9,12.0
536,Karaj,35.84,51.01,39,3.1,0,9.91
537,Wana,32.3,69.57,22,1.02,0,18.32
538,San Rafael,-34.62,-68.33,31,1.64,0,15.66
